Fibtest Output

int       fib       fibR       val
4       0.0       0.0       3
8       0.0       0.0       21
17       0.0       0.0008       1597
10       0.0       0.0       55
13       0.0       0.0002       233
20       0.0       0.0029       6765
17       0.0       0.0007       1597
20       0.0       0.0029       6765
15       0.0       0.0003       610
5       0.0       0.0       5
13       0.0       0.0001       233
9       0.0       0.0       34
5       0.0       0.0       5
26       0.0       0.0524       121393
25       0.0       0.0309       75025
1       0.0       0.0       1
29       0.0       0.2114       514229
